Years of GDP data used for growth projections,Poverty line in PPP$ (per capita per day),South Asia,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,North America
June downside projection,$1.90,42,39,10,5,4,1,0
June baseline projection,$1.90,32,26,6,4,3,1,0
